layer,node,SIR
7,56,1.035
8,56,1.024
10,56,1.078
11,56,1.048
12,56,1.014
13,56,1.062
14,56,1.013
15,56,1.012
17,56,1.033
19,56,1.026
21,56,1.062
23,56,1.018
25,56,1.039
27,56,1.091
28,56,1.049
30,56,1.072
31,56,1.081
33,56,1.015
35,56,1.03
1,135,1.023
2,135,1.045
3,135,1.012
5,135,1.08
6,135,1.045
8,135,1.069
10,135,1.013
11,135,1.016
12,135,1.007
17,135,1.017
18,135,1.011
21,135,1.03
22,135,1.01
24,135,1.016
27,135,1.014
28,135,1.019
35,135,1.017
36,135,1.031
7,43,1.012
2,156,1.037
3,156,1.02
5,156,1.054
6,156,1.063
7,156,1.015
10,156,1.023
13,156,1.049
16,156,1.017
17,156,1.02
25,156,1.016
27,156,1.018
29,156,1.017
30,156,1.017
33,156,1.01
35,156,1.018
7,16,1.011
7,214,1.017
10,214,1.011
13,214,1.02
21,214,1.034
2,79,1.057
5,79,1.073
8,79,1.039
10,79,1.059
11,79,1.08
12,79,1.044
13,79,1.068
17,79,1.037
19,79,1.026
21,79,1.019
22,79,1.014
23,79,1.014
24,79,1.019
25,79,1.027
27,79,1.036
28,79,1.012
29,79,1.009
30,79,1.013
31,79,1.014
33,79,1.013
35,79,1.035
7,28,1.02
2,170,1.042
3,170,1.015
5,170,1.072
6,170,1.043
8,170,1.03
10,170,1.016
11,170,1.028
13,170,1.022
17,170,1.075
19,170,1.018
21,170,1.06
22,170,1.014
23,170,1.079
24,170,1.021
25,170,1.023
27,170,1.025
28,170,1.019
31,170,1.033
32,170,1.016
34,170,1.01
35,170,1.018
2,210,1.026
5,210,1.046
11,210,1.039
13,210,1.057
15,210,1.012
19,210,1.049
21,210,1.038
25,210,1.017
30,210,1.015
35,210,1.008
9,34,1.012
21,12,1.011
10,216,1.013
13,216,1.016
3,197,1.437
4,197,1.14
5,197,2.5
6,197,1.749
7,197,1.012
8,197,2.334
3,9,1.018
11,9,1.016
2,109,1.032
3,109,1.037
4,109,1.017
5,109,1.064
7,109,1.013
8,109,1.055
10,109,1.062
11,109,1.031
12,109,1.025
13,109,1.064
15,109,1.011
25,109,1.014
27,109,1.016
28,109,1.022
30,109,1.023
35,109,1.036
36,109,1.014
2,93,1.03
3,93,1.039
4,93,1.035
5,93,1.104
6,93,1.037
8,93,1.057
13,93,1.019
17,93,1.017
19,93,1.017
21,93,1.023
25,93,1.005
30,93,1.012
32,93,1.012
33,93,1.017
35,93,1.016
7,25,1.017
1,123,1.02
2,123,1.05
3,123,1.056
4,123,1.031
5,123,1.037
7,123,1.016
8,123,1.053
10,123,1.092
11,123,1.089
12,123,1.017
13,123,1.057
15,123,1.019
17,123,1.093
19,123,1.011
21,123,1.029
23,123,1.019
25,123,1.053
27,123,1.02
28,123,1.014
30,123,1.021
32,123,1.014
35,123,1.038
2,58,1.022
5,58,1.064
8,58,1.052
10,58,1.028
11,58,1.029
13,58,1.056
14,58,1.026
15,58,1.011
16,58,1.047
17,58,1.037
19,58,1.045
22,58,1.055
23,58,1.036
25,58,1.031
26,58,1.018
27,58,1.094
28,58,1.032
30,58,1.014
35,58,1.039
36,58,1.023
2,182,1.04
3,182,1.012
5,182,1.07
8,182,1.064
10,182,1.066
11,182,1.025
13,182,1.059
17,182,1.018
19,182,1.013
22,182,1.016
23,182,1.016
24,182,1.016
27,182,1.01
28,182,1.03
30,182,1.037
35,182,1.008
3,107,1.015
19,107,1.021
22,14,1.012
7,52,1.014
17,52,1.01
2,118,1.041
3,118,1.031
4,118,1.02
5,118,1.031
8,118,1.061
10,118,1.03
13,118,1.046
16,118,1.034
25,118,1.017
27,118,1.011
30,118,1.013
1,150,1.012
2,150,1.042
3,150,1.007
5,150,1.07
6,150,1.046
7,150,1.009
8,150,1.067
10,150,1.013
11,150,1.051
12,150,1.017
13,150,1.046
14,150,1.013
16,150,1.015
17,150,1.084
18,150,1.014
21,150,1.1
22,150,1.012
23,150,1.035
24,150,1.012
27,150,1.022
28,150,1.042
30,150,1.042
33,150,1.01
35,150,1.041
1,186,1.021
2,186,1.033
3,186,1.034
5,186,1.097
6,186,1.047
8,186,1.039
11,186,1.049
13,186,1.042
16,186,1.01
17,186,1.065
21,186,1.016
23,186,1.032
25,186,1.046
27,186,1.013
28,186,1.033
33,186,1.036
35,186,1.02
10,195,1.014
1,115,1.018
2,115,1.055
3,115,1.039
5,115,1.068
6,115,1.05
8,115,1.053
11,115,1.031
13,115,1.012
17,115,1.073
21,115,1.013
25,115,1.025
28,115,1.032
35,115,1.051
2,61,1.038
3,61,1.02
5,61,1.075
6,61,1.047
8,61,1.057
13,61,1.087
16,61,1.011
17,61,1.025
19,61,1.12
21,61,1.01
22,61,1.024
23,61,1.017
25,61,1.067
27,61,1.044
28,61,1.027
30,61,1.043
32,61,1.015
35,61,1.078
10,217,1.013
13,217,1.024
32,217,1.016
35,217,1.021
1,148,1.034
2,148,1.059
3,148,1.018
5,148,1.076
6,148,1.049
8,148,1.049
10,148,1.035
11,148,1.042
13,148,1.079
17,148,1.017
19,148,1.009
21,148,1.05
22,148,1.028
25,148,1.031
27,148,1.028
28,148,1.016
29,148,1.008
30,148,1.029
31,148,1.014
36,148,1.023
3,205,1.043
2,194,1.032
3,194,1.031
4,194,1.029
5,194,1.07
8,194,1.052
10,194,1.014
13,194,1.02
15,194,1.013
2,117,1.063
3,117,1.024
5,117,1.037
8,117,1.054
11,117,1.014
13,117,1.062
19,117,1.013
23,117,1.031
27,117,1.019
30,117,1.028
2,184,1.046
3,184,1.025
5,184,1.038
6,184,1.038
8,184,1.044
10,184,1.092
11,184,1.054
12,184,1.048
13,184,1.095
16,184,1.023
17,184,1.016
21,184,1.069
22,184,1.014
23,184,1.03
25,184,1.029
27,184,1.019
28,184,1.019
30,184,1.031
32,184,1.017
34,184,1.021
1,111,1.019
2,111,1.04
3,111,1.043
4,111,1.023
5,111,1.066
6,111,1.062
7,111,1.031
8,111,1.038
10,111,1.064
11,111,1.025
12,111,1.031
13,111,1.056
15,111,1.013
16,111,1.029
17,111,1.091
19,111,1.035
21,111,1.078
22,111,1.068
23,111,1.017
24,111,1.035
27,111,1.036
29,111,1.017
30,111,1.034
32,111,1.025
33,111,1.012
34,111,1.024
35,111,1.014
7,31,1.013
7,40,1.022
7,191,1.011
10,191,1.019
13,191,1.026
27,191,1.016
28,191,1.015
2,82,1.046
3,82,1.027
4,82,1.007
5,82,1.092
10,82,1.037
11,82,1.009
13,82,1.022
15,82,1.016
16,82,1.013
19,82,1.015
21,82,1.02
22,82,1.015
25,82,1.015
27,82,1.016
28,82,1.017
32,82,1.018
35,82,1.019
1,84,1.03
2,84,1.024
3,84,1.014
5,84,1.108
6,84,1.071
10,84,1.028
11,84,1.011
12,84,1.014
13,84,1.046
16,84,1.03
17,84,1.017
19,84,1.029
21,84,1.027
22,84,1.013
23,84,1.017
25,84,1.017
30,84,1.01
33,84,1.013
35,84,1.052
3,208,1.28
5,193,1.047
10,193,1.022
13,193,1.05
19,193,1.02
21,193,1.01
32,193,1.012
35,193,1.035
36,193,1.011
3,21,1.018
3,89,1.019
10,89,1.051
11,89,1.024
13,89,1.019
16,89,1.024
17,89,1.028
21,89,1.031
23,89,1.015
27,89,1.051
28,89,1.052
30,89,1.049
15,5,1.018
17,51,1.017
23,51,1.018
2,211,1.019
5,211,1.041
13,211,1.019
19,211,1.042
21,211,1.011
25,211,1.024
27,211,1.011
30,211,1.017
35,211,1.039
2,95,1.028
3,95,1.016
5,95,1.084
8,95,1.028
10,95,1.032
11,95,1.011
12,95,1.016
13,95,1.022
15,95,1.016
21,95,1.029
22,95,1.014
24,95,1.013
25,95,1.013
2,128,1.065
5,128,1.066
8,128,1.023
9,128,1.016
10,128,1.027
11,128,1.057
12,128,1.022
13,128,1.051
14,128,1.019
17,128,1.015
21,128,1.022
22,128,1.021
23,128,1.035
24,128,1.021
25,128,1.014
27,128,1.016
30,128,1.014
33,128,1.009
35,128,1.011
2,162,1.039
5,162,1.05
6,162,1.04
7,162,1.019
8,162,1.023
10,162,1.033
11,162,1.04
12,162,1.022
13,162,1.065
16,162,1.018
17,162,1.014
21,162,1.01
22,162,1.012
23,162,1.012
24,162,1.013
25,162,1.021
27,162,1.017
28,162,1.021
30,162,1.017
33,162,1.037
35,162,1.014
3,49,1.029
1,166,1.022
2,166,1.037
6,166,1.041
7,166,1.021
10,166,1.051
11,166,1.021
13,166,1.048
21,166,1.034
33,166,1.017
35,166,1.043
36,166,1.031
2,139,1.023
3,139,1.075
4,139,1.047
5,139,1.067
7,139,1.076
8,139,1.119
10,139,1.32
11,139,1.18
12,139,1.053
13,139,1.425
14,139,1.021
17,139,1.008
19,139,1.065
21,139,1.018
25,139,1.048
27,139,1.012
30,139,1.061
32,139,1.018
35,139,1.053
1,179,1.024
2,179,1.051
5,179,1.085
8,179,1.064
11,179,1.053
13,179,1.041
16,179,1.025
21,179,1.03
22,179,1.038
23,179,1.014
27,179,1.043
28,179,1.03
2,92,1.077
3,92,1.039
4,92,1.041
8,92,1.068
10,92,1.074
11,92,1.03
14,92,1.06
21,92,1.012
2,87,1.035
3,87,1.026
5,87,1.06
6,87,1.06
7,87,1.009
8,87,1.06
10,87,1.022
11,87,1.021
13,87,1.014
14,87,1.03
17,87,1.047
25,87,1.028
27,87,1.031
30,87,1.014
35,87,1.031
1,164,1.029
2,164,1.047
5,164,1.051
7,164,1.013
8,164,1.031
10,164,1.04
11,164,1.062
12,164,1.014
13,164,1.041
14,164,1.021
15,164,1.051
16,164,1.014
19,164,1.015
21,164,1.027
22,164,1.012
25,164,1.038
27,164,1.048
28,164,1.036
30,164,1.012
32,164,1.018
33,164,1.02
35,164,1.026
36,164,1.018
2,145,1.042
3,145,1.053
4,145,1.035
5,145,1.066
6,145,1.04
7,145,1.008
8,145,1.053
10,145,1.058
11,145,1.064
12,145,1.04
13,145,1.034
15,145,1.044
16,145,1.042
17,145,1.058
21,145,1.165
23,145,1.028
26,145,1.011
31,145,1.014
36,145,1.01
3,173,1.041
4,173,1.024
5,173,1.067
6,173,1.055
8,173,1.068
10,173,1.013
11,173,1.027
12,173,1.012
13,173,1.061
17,173,1.024
23,173,1.043
25,173,1.013
27,173,1.017
31,173,1.011
33,173,1.017
3,183,1.02
5,183,1.088
6,183,1.042
8,183,1.051
10,183,1.038
11,183,1.019
16,183,1.015
21,183,1.028
22,183,1.026
23,183,1.015
24,183,1.009
27,183,1.04
28,183,1.016
1,103,1.02
2,103,1.032
3,103,1.034
4,103,1.033
5,103,1.087
7,103,1.023
10,103,1.012
11,103,1.028
13,103,1.035
15,103,1.021
17,103,1.045
19,103,1.046
21,103,1.035
25,103,1.019
28,103,1.02
36,103,1.014
10,108,1.011
13,108,1.013
21,108,1.031
32,108,1.012
33,108,1.012
35,108,1.014
36,108,1.012
2,137,1.027
5,137,1.075
7,137,1.059
8,137,1.064
13,137,1.026
22,137,1.018
27,137,1.069
30,137,1.017
31,137,1.017
1,189,1.029
2,189,1.045
3,189,1.035
4,189,1.012
5,189,1.072
7,189,1.026
8,189,1.062
10,189,1.028
11,189,1.029
13,189,1.039
17,189,1.012
21,189,1.016
22,189,1.007
25,189,1.023
27,189,1.019
28,189,1.008
30,189,1.011
2,175,1.015
5,175,1.064
7,175,1.016
10,175,1.039
12,175,1.039
13,175,1.023
25,175,1.016
30,175,1.009
35,175,1.021
36,175,1.02
3,207,1.13
1,131,1.012
2,131,1.036
3,131,1.031
4,131,1.012
5,131,1.047
6,131,1.039
7,131,1.034
8,131,1.071
10,131,1.043
11,131,1.017
12,131,1.016
13,131,1.048
15,131,1.011
17,131,1.017
21,131,1.076
23,131,1.015
27,131,1.011
30,131,1.038
3,106,1.012
4,106,1.014
5,106,1.044
7,106,1.017
10,106,1.048
11,106,1.031
13,106,1.053
21,106,1.011
25,106,1.013
35,106,1.017
2,81,1.062
3,81,1.033
4,81,1.015
5,81,1.029
10,81,1.037
11,81,1.019
14,81,1.015
21,81,1.018
23,81,1.013
2,160,1.031
3,160,1.047
4,160,1.011
5,160,1.041
8,160,1.064
10,160,1.023
11,160,1.01
13,160,1.048
15,160,1.015
16,160,1.033
22,160,1.019
23,160,1.014
25,160,1.017
28,160,1.017
30,160,1.005
32,160,1.021
33,160,1.034
34,160,1.019
35,160,1.014
36,160,1.03
7,18,1.015
27,50,1.014
30,50,1.01
2,140,1.041
5,140,1.062
6,140,1.062
7,140,1.039
8,140,1.051
10,140,1.046
11,140,1.028
12,140,1.03
13,140,1.012
16,140,1.012
17,140,1.027
18,140,1.02
19,140,1.012
21,140,1.014
22,140,1.023
23,140,1.025
24,140,1.036
25,140,1.016
27,140,1.055
28,140,1.034
29,140,1.033
30,140,1.029
32,140,1.009
33,140,1.027
34,140,1.021
35,140,1.024
2,154,1.048
3,154,1.019
5,154,1.07
6,154,1.027
8,154,1.067
10,154,1.108
11,154,1.037
13,154,1.102
14,154,1.01
17,154,1.017
19,154,1.019
21,154,1.033
25,154,1.026
27,154,1.015
30,154,1.013
35,154,1.025
7,41,1.013
2,129,1.054
3,129,1.017
4,129,1.017
5,129,1.085
6,129,1.054
8,129,1.102
10,129,1.012
11,129,1.127
12,129,1.018
13,129,1.023
15,129,1.027
16,129,1.015
17,129,1.015
19,129,1.019
21,129,1.068
22,129,1.013
23,129,1.028
25,129,1.011
27,129,1.014
30,129,1.017
35,129,1.018
7,46,1.012
2,114,1.054
3,114,1.042
5,114,1.079
6,114,1.067
8,114,1.02
10,114,1.046
11,114,1.071
12,114,1.014
13,114,1.044
21,114,1.053
22,114,1.043
25,114,1.032
27,114,1.025
28,114,1.013
29,114,1.012
1,158,1.02
2,158,1.037
3,158,1.027
4,158,1.019
5,158,1.072
7,158,1.032
8,158,1.078
10,158,1.031
11,158,1.061
12,158,1.025
13,158,1.047
17,158,1.01
19,158,1.019
21,158,1.03
23,158,1.032
25,158,1.06
27,158,1.012
28,158,1.028
31,158,1.012
32,158,1.009
33,158,1.013
35,158,1.027
2,138,1.029
3,138,1.027
4,138,1.025
5,138,1.091
7,138,1.013
8,138,1.04
10,138,1.044
11,138,1.096
12,138,1.016
13,138,1.042
16,138,1.047
21,138,1.013
22,138,1.064
24,138,1.015
25,138,1.031
27,138,1.033
2,141,1.058
3,141,1.009
5,141,1.048
6,141,1.033
7,141,1.042
8,141,1.06
11,141,1.016
13,141,1.091
17,141,1.016
19,141,1.018
21,141,1.011
23,141,1.014
27,141,1.023
28,141,1.01
30,141,1.012
31,141,1.014
32,141,1.019
35,141,1.022
21,15,1.014
2,94,1.065
3,94,1.044
5,94,1.018
6,94,1.035
8,94,1.078
10,94,1.043
11,94,1.025
12,94,1.02
13,94,1.032
14,94,1.02
16,94,1.016
17,94,1.117
21,94,1.016
22,94,1.022
23,94,1.014
25,94,1.03
27,94,1.02
30,94,1.015
32,94,1.021
34,94,1.019
7,42,1.011
2,102,1.036
5,102,1.085
7,102,1.029
8,102,1.079
13,102,1.06
19,102,1.022
25,102,1.016
27,102,1.011
30,102,1.022
35,102,1.026
5,105,1.03
10,105,1.015
11,105,1.016
13,105,1.039
21,105,1.037
23,105,1.012
27,105,1.016
28,105,1.014
3,76,1.015
5,76,1.086
8,76,1.033
13,76,1.012
16,76,1.027
25,76,1.014
35,76,1.015
2,112,1.04
5,112,1.095
7,112,1.026
8,112,1.055
10,112,1.074
11,112,1.088
12,112,1.029
13,112,1.075
17,112,1.053
21,112,1.044
22,112,1.036
23,112,1.025
24,112,1.012
25,112,1.018
27,112,1.041
28,112,1.045
29,112,1.018
33,112,1.008
2,70,1.016
5,70,1.047
7,70,1.011
10,70,1.075
11,70,1.014
12,70,1.021
13,70,1.052
19,70,1.026
25,70,1.033
27,70,1.044
30,70,1.02
31,70,1.034
35,70,1.026
2,155,1.049
5,155,1.035
10,155,1.014
11,155,1.035
13,155,1.031
16,155,1.012
21,155,1.046
22,155,1.018
23,155,1.014
25,155,1.022
27,155,1.098
28,155,1.023
30,155,1.044
2,212,1.043
7,212,1.017
13,212,1.016
25,212,1.015
35,212,1.018
7,39,1.023
3,32,1.023
2,180,1.032
5,180,1.084
8,180,1.064
9,180,1.015
10,180,1.019
12,180,1.016
13,180,1.02
15,180,1.04
35,180,1.013
19,17,1.019
1,167,1.016
2,167,1.048
3,167,1.033
4,167,1.02
5,167,1.068
8,167,1.073
9,167,1.021
10,167,1.052
11,167,1.008
12,167,1.019
13,167,1.07
15,167,1.033
21,167,1.025
23,167,1.012
25,167,1.01
1,178,1.029
2,178,1.045
3,178,1.026
5,178,1.092
6,178,1.042
7,178,1.013
8,178,1.067
11,178,1.03
13,178,1.014
15,178,1.014
16,178,1.022
17,178,1.13
21,178,1.025
25,178,1.011
27,178,1.018
28,178,1.011
30,178,1.018
3,23,1.023
2,159,1.032
3,159,1.017
5,159,1.036
6,159,1.042
8,159,1.012
10,159,1.019
12,159,1.015
13,159,1.013
16,159,1.029
18,159,1.023
19,159,1.011
27,159,1.015
29,159,1.015
32,159,1.017
35,159,1.013
7,27,1.017
11,27,1.014
17,27,1.027
21,27,1.014
28,27,1.015
2,171,1.043
3,171,1.018
5,171,1.06
6,171,1.024
7,171,1.027
8,171,1.055
10,171,1.047
12,171,1.016
13,171,1.05
15,171,1.027
16,171,1.015
19,171,1.026
21,171,1.039
22,171,1.017
24,171,1.007
25,171,1.042
27,171,1.031
29,171,1.015
30,171,1.012
32,171,1.014
34,171,1.013
2,86,1.033
3,86,1.037
5,86,1.082
8,86,1.047
10,86,1.017
13,86,1.03
16,86,1.029
17,86,1.031
22,86,1.036
23,86,1.018
32,86,1.02
36,86,1.016
3,59,1.045
4,59,1.033
5,59,1.078
7,59,1.01
8,59,1.061
10,59,1.028
13,59,1.065
16,59,1.041
19,59,1.024
20,59,1.016
25,59,1.01
26,59,1.012
35,59,1.037
3,96,1.013
32,96,1.017
35,96,1.012
7,36,1.02
3,116,1.021
7,116,1.013
3,181,1.017
5,181,1.043
8,181,1.064
10,181,1.014
13,181,1.035
16,181,1.051
19,181,1.011
32,181,1.011
35,181,1.01
33,10,1.023
2,62,1.032
3,62,1.047
4,62,1.013
5,62,1.09
7,62,1.019
8,62,1.049
10,62,1.04
12,62,1.021
13,62,1.014
14,62,1.036
21,62,1.011
25,62,1.015
27,62,1.07
30,62,1.046
31,62,1.032
32,62,1.009
34,62,1.018
35,62,1.013
36,62,1.012
2,68,1.051
3,68,1.036
5,68,1.082
6,68,1.062
8,68,1.068
11,68,1.02
16,68,1.025
18,68,1.012
19,68,1.013
25,68,1.033
1,157,1.026
2,157,1.064
5,157,1.095
6,157,1.036
8,157,1.05
10,157,1.033
11,157,1.045
12,157,1.027
13,157,1.008
14,157,1.017
21,157,1.023
25,157,1.015
35,157,1.015
1,45,1.025
27,45,1.021
28,45,1.02
1,77,1.02
2,77,1.038
5,77,1.083
7,77,1.018
8,77,1.061
11,77,1.056
15,77,1.015
21,77,1.043
27,77,1.039
28,77,1.037
29,77,1.017
30,77,1.017
35,77,1.017
1,72,1.022
2,72,1.057
3,72,1.009
5,72,1.06
6,72,1.059
8,72,1.07
10,72,1.065
11,72,1.033
13,72,1.087
16,72,1.02
17,72,1.055
18,72,1.021
19,72,1.036
21,72,1.04
23,72,1.023
25,72,1.012
27,72,1.045
28,72,1.016
30,72,1.064
32,72,1.011
33,72,1.012
35,72,1.04
36,72,1.025
5,192,1.089
10,192,1.021
13,192,1.017
15,192,1.03
21,192,1.012
22,192,1.033
25,192,1.01
27,192,1.013
30,192,1.018
5,169,1.062
10,169,1.01
11,169,1.038
12,169,1.007
21,169,1.033
27,169,1.022
31,169,1.021
35,169,1.013
7,38,1.017
2,99,1.028
5,99,1.028
8,99,1.075
10,99,1.017
11,99,1.031
13,99,1.067
16,99,1.021
17,99,1.036
19,99,1.047
21,99,1.026
22,99,1.016
24,99,1.016
25,99,1.032
27,99,1.051
28,99,1.03
31,99,1.018
33,99,1.007
35,99,1.046
2,63,1.049
3,63,1.031
5,63,1.085
6,63,1.049
8,63,1.098
10,63,1.022
11,63,1.065
16,63,1.016
17,63,1.01
21,63,1.036
22,63,1.011
27,63,1.066
28,63,1.041
30,63,1.044
2,149,1.067
5,149,1.083
13,149,1.028
14,149,1.013
19,149,1.023
25,149,1.019
30,149,1.031
36,149,1.021
1,110,1.023
2,110,1.032
3,110,1.028
4,110,1.034
5,110,1.063
11,110,1.046
15,110,1.019
16,110,1.014
17,110,1.013
22,110,1.02
23,110,1.029
27,110,1.013
28,110,1.039
30,110,1.018
33,110,1.061
36,110,1.016
5,215,1.037
10,215,1.018
13,215,1.035
32,215,1.012
35,215,1.017
3,100,1.031
6,100,1.038
7,100,1.015
8,100,1.028
11,100,1.023
13,100,1.027
15,100,1.016
16,100,1.019
17,100,1.056
18,100,1.016
21,100,1.054
27,100,1.011
28,100,1.022
1,124,1.032
2,124,1.029
3,124,1.027
5,124,1.057
6,124,1.049
8,124,1.078
10,124,1.046
11,124,1.063
12,124,1.036
13,124,1.064
16,124,1.011
17,124,1.028
19,124,1.012
21,124,1.024
22,124,1.019
23,124,1.02
25,124,1.017
28,124,1.016
30,124,1.022
33,124,1.043
3,8,1.012
2,125,1.032
3,125,1.017
5,125,1.066
6,125,1.05
8,125,1.043
10,125,1.098
11,125,1.025
12,125,1.024
13,125,1.094
14,125,1.008
15,125,1.011
16,125,1.017
17,125,1.015
19,125,1.012
20,125,1.012
21,125,1.062
22,125,1.039
23,125,1.04
24,125,1.017
25,125,1.029
26,125,1.016
27,125,1.057
28,125,1.026
29,125,1.009
30,125,1.023
31,125,1.007
32,125,1.015
35,125,1.042
36,125,1.016
1,85,1.031
2,85,1.03
3,85,1.06
4,85,1.039
5,85,1.073
8,85,1.064
10,85,1.037
11,85,1.019
12,85,1.012
13,85,1.035
14,85,1.009
21,85,1.027
22,85,1.022
23,85,1.028
25,85,1.036
26,85,1.024
27,85,1.018
30,85,1.017
31,85,1.018
32,85,1.018
35,85,1.012
7,26,1.02
3,204,1.022
2,188,1.075
3,188,1.041
4,188,1.018
5,188,1.081
8,188,1.069
10,188,1.073
11,188,1.08
13,188,1.164
15,188,1.015
16,188,1.014
17,188,1.041
22,188,1.011
23,188,1.011
25,188,1.035
32,188,1.014
33,188,1.028
35,188,1.051
2,177,1.047
3,177,1.017
6,177,1.023
8,177,1.074
13,177,1.067
16,177,1.013
17,177,1.014
22,177,1.018
23,177,1.014
25,177,1.016
35,177,1.017
2,55,1.049
5,55,1.081
8,55,1.09
13,55,1.016
28,55,1.015
1,91,1.023
2,91,1.038
3,91,1.02
5,91,1.065
6,91,1.048
8,91,1.062
10,91,1.211
11,91,1.198
12,91,1.048
13,91,1.137
16,91,1.154
17,91,1.077
19,91,1.013
21,91,1.074
22,91,1.044
23,91,1.044
27,91,1.088
28,91,1.069
29,91,1.034
30,91,1.04
31,91,1.014
32,91,1.008
33,91,1.056
35,91,1.019
3,206,1.034
3,201,1.125
4,201,1.012
2,121,1.041
3,121,1.02
5,121,1.101
8,121,1.056
10,121,1.016
13,121,1.025
21,121,1.015
22,121,1.011
25,121,1.007
32,121,1.011
35,121,1.021
3,24,1.022
11,30,1.018
21,30,1.026
10,127,1.018
14,127,1.015
11,47,1.025
7,37,1.018
3,203,1.025
3,199,1.257
4,199,1.019
1,152,1.032
2,152,1.027
3,152,1.022
4,152,1.037
5,152,1.04
7,152,1.019
10,152,1.007
11,152,1.071
13,152,1.03
19,152,1.014
21,152,1.05
22,152,1.018
24,152,1.012
25,152,1.033
27,152,1.027
28,152,1.011
30,152,1.043
1,83,1.028
2,83,1.026
3,83,1.066
4,83,1.035
5,83,1.085
10,83,1.04
11,83,1.04
13,83,1.013
15,83,1.017
21,83,1.047
22,83,1.007
23,83,1.024
25,83,1.014
27,83,1.021
28,83,1.014
35,83,1.021
7,213,1.022
10,213,1.041
13,213,1.051
21,213,1.009
32,213,1.01
35,213,1.018
2,174,1.03
3,174,1.042
5,174,1.103
6,174,1.037
7,174,1.023
8,174,1.047
10,174,1.048
11,174,1.163
13,174,1.059
16,174,1.021
17,174,1.05
19,174,1.022
21,174,1.033
23,174,1.077
25,174,1.027
30,174,1.016
35,174,1.014
1,147,1.031
2,147,1.05
3,147,1.033
4,147,1.034
5,147,1.052
7,147,1.019
10,147,1.03
11,147,1.028
13,147,1.022
16,147,1.022
17,147,1.016
19,147,1.026
21,147,1.05
22,147,1.038
23,147,1.014
25,147,1.027
27,147,1.032
28,147,1.03
32,147,1.013
35,147,1.011
2,80,1.041
5,80,1.065
7,80,1.032
8,80,1.044
10,80,1.026
11,80,1.066
13,80,1.081
19,80,1.036
21,80,1.033
25,80,1.012
27,80,1.039
28,80,1.022
30,80,1.056
35,80,1.031
21,35,1.022
2,165,1.062
3,165,1.029
5,165,1.06
8,165,1.07
10,165,1.013
12,165,1.017
16,165,1.012
